"popsong_lyrics","singer","element_id"
"Can't keep me down
Can't keep me down? down
Can't keep me down
I said you can't keep me down
You know you can't keep me down
I said you can't keep me down
Hey? hey? man! What's your problem
I see you tryin? to hurt me bad
Don't know what you're up against
Maybe you should reconsider
Come up with another plan
Cuz you know I'm not that kinda girl
That'll lay there and let you come first","Pink",1
"You can push me out the window
I'll just get back up
You can run over me with your 18 wheeler truck
And I won't give a fuck
You can hang me like a slave
I'll go underground
You can run over me with your 18 wheeler but
You can't keep me down? down? down? down","Pink",2
"Can't keep me down? down
Can't keep me down? down? down
Can't keep me down? down","Pink",3
"Hey? hey? girl! Are you ready for today
You got your shield and sword
Cuz its time to play the games
You are beautiful
Even though your not for sure
Don't let him pull you by the scar
You're gonna get your feelings hurt","Pink",4
"You can push me out the window
I'll just get back up
You can run over me with your 18 wheeler truck
And I won't give a fuck
You can hang me like a slave
I'll go underground
You can run over me with your 18 wheeler but
You can't keep me down? down? down? down","Pink",5
"You can push me out the window
I'll just get back up
You can run over me with your 18 wheeler truck
And I won't give a fuck
You can hang me like a slave
I'll go underground
You can run over me with your 18 wheeler but
You can't keep me down? down? down? down","Pink",6
"Everywhere that I go
There's someone waitin? to chain me
Everything that I say
There's someone tryin? to short'change me
I am only this way
Because of what you have made me
And I'm not gonna break!","Pink",7
"You can push me out the window
I'll just get back up
You can run over me with your 18 wheeler truck
And I won't give a fuck
You can hang me like a slave
I'll go underground
You can run over me with your 18 wheeler but
You can't keep me down? down? down? down","Pink",8
"Bananas
in pijamas
are coming down the street
bananas
in pijamas
are coming down in pairs
bananas
in pijamas
are chasing nikki minaj
cause on Tuesdays they all try to catch them pillows","Pink",9
"The morning is OK if I wake up lying next to you
But mostly of the time you're away
You're probably flirting with another girl
And not even thinking of me","Pink",10
"Oh boy oh boy, I look in your eyes
Oh boy oh boy, and I realize
Oh boy oh boy, I look in your eyes
And the morning is alright","Pink",11
"But I know that I love you
And I can't let you cheat on me
You're probably gonna say
That I'm too young
But I know what to do
And I'm making this decision
I think I'm better off alone","Pink",12
"How can you cheat on a sexy young lady
Who know what to do when you're around
You know that I'm against it
And hate it when you leave me
But I love you too bits
But I'm not up for it","Pink",13
"Oh boy oh boy, I look in your eyes
Oh boy oh boy, and I realize
Oh boy oh boy, I look in your eyes
And the morning is alright","Pink",14
"But I know that I love you
And I can't let you cheat on me
You're probably gonna say
That I'm too young
But I know what to do
And I'm making this decision
I think I'm better off alone","Pink",15
"When you say that you'll be home for 10 PM
That don't mean in my eyes 7 AM
You I'd like to know which bar you've been at
But I know you'll never tell me 'cause you got no respect
You're too lazy too get your butt off my parents couch
But then I say you wanna beer, you always up for that
You always just can't get enough
And think you can handle it with just one touch
But now I better let you know
That I'm better off alone
So please think again,
Because this is the end!","Pink",16
"But I know that I love you
And I can't let you cheat on me
You're probably gonna say
That I'm too young
But I know what to do
And I'm making this decision
I think I'm better off alone","Pink",17
"But I know that I love you
And I can't let you cheat on me
You're probably gonna say
That I'm too young
But I know what to do
And I'm making this decision
I think I'm better off alone","Pink",18
"******************** ************************
Van Nathalie Schepers, Kim Vrijens en Daisy Maesen
*********************************************","Pink",19
"ching, ching, ching
BOOOOOOOO
Ching,ching,ching
BOOOOOOOO","Pink",20
"I Like to sing the
BOOOOOOO
song.
YEAH, YEAH, YEAH","Pink",21
"Everybody sing now!","Pink",22
"BOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO","Pink",23
"theres nothin left now
standing in my shadow
staring at the walls
ohhh im broken now
its nothing you cant see","Pink",24
"can you feel me breaking
im falling into nothing
i thought i was falling
into you
but im cold now
yeah
and im broken
and theres nothing to break my broken fall","Pink",25
"oh yeah
theres nothing to break my broken fall","Pink",26
"[Chorus:]
Can't take me home to mama cuz she wouldn't think I'm proper
Shoulda thought about that before you f***** with me
Don't say you're fallin for me, don't tell me you adore me
Cuz all you're thinkin bout is f***** me
Can't take me home to mama cuz she wouldn't think I'm proper
Shoulda thought about that before you f***** with me
Don't say you're fallin for me, don't tell me you adore me
Cuz all you're thinkin bout is f***** me","Pink",27
"Why'd ya even talk to me, baby were you curious
You knew you never had a love like this
My love was serious, had you delirious
Don't front, I felt it in every kiss
You try and play me, like I ain't your lady
When you just told me that you love me and you want me as your baby
Understand me, cuz I know we can be
Just as happy as anybody, let your heart feel me baby","Pink",28
"[Repeat Chorus]","Pink",29
"What the hell was on your mind
You thought I had the time, to be your little undercover thing
But see I can't deal with that, so you better just split with that
Come at me real
Quit playin these silly games
How can you love me, and then just leave me
Because you see somebody looking
And you think they disagree
Well they don't feed you, so why you care boo
Cuz the best love you ever had is right here with you","Pink",30
"[Repeat Chorus]","Pink",31
"I don't want nobody else but you
But if you keep playing, then I'll make you the fool
Cuz it's a Pink thang
It's the way you would wanna get with me
Oh, it's a Pink thang
Tell you, your mama you're just gonna hafta see","Pink",32
"[Repeat Chorus to fade]","Pink",33
"(Pink-speaking)
Good afternoon ladies and gentlemen and welcome to Pink airlines
We hope your flight is enjoyable and our flight attendants are here to
ensure your ride is as pleasant as possible.
Seat backs and tray tables must be in the upright and lock position
during take-off and landing.
All carry-on luggange must be stowed in an over-head compartment
or under the seat in front of you.","Pink",34
"(Verse1)
Waiting on a ticket
'Cause you're looking for the ride
You're feeling on top
'Cause you're flying through the sky
You wanna have your cake
And you wanna eat it too
Everybody's always pointing fingers at you
You're damned if you do
You're damned if you don't
We're always doing all the things
That we say we won't","Pink",35
"(Chorus)
Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22
Yes we're flying round in circles
- it's a Catch22
Yes we're rocking round in circles
- it's a Catch22","Pink",36
"(Pink speaking)
If you are seated in an emergency exit aisle and feel as though you
are unable or unwilling to assist in the case of an emergency,
please notify a flight attendant immediately.
All electrical equipment, including cell-phones, 2-way pagers,
portable CD players, laptops etc should remain in the off position
until the pilot notifies us that we are at a safe flying altitude of 10,000ft","Pink",37
"(Verse2)
Looking from the outside, you're always looking in
You think you fix the problem, until it comes right back again
And life seems like a trap, you're trying to get out
You're searching for your cheese because you feel like Mighty Mouse
You're damned if you don't - you're damned if you do
You've seen all the signs, but you haven't got a clue","Pink",38
"(Chorus)
Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22
Yes we're flying round in circles
- it's a Catch22
Yes we're rocking round in circles
- it's a Catch22","Pink",39
"You are in, you are in, you are in, you are in
You are in for the ride of your life","Pink",40
"(Chorus)
Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22
Yes we're flying round in circles
- it's a Catch22","Pink",41
"(Pink speaking)
We realize you have many choices and behalf of all of us at Pink
Airlines, we'd like to thankyou for flying with us.
We hope you have a wonderful stay wherever you're destination
may be.
And remember, be careful retrieving your items, as during the flight
they may have shifted, and might fall on you or your neighbours head,
and knock you the fuck out","Pink",42
"(Chorus)
Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22","Pink",43
"Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22
Yes we're flying round in circles
- it's a Catch22","Pink",44
"(Pink-speaking)
Good afternoon ladies and gentlemen and welcome to Pink airlines
We hope your flight is enjoyable and our flight attendants are here to
ensure your ride is as pleasant as possible.
Seat backs and tray tables must be in the upright and lock position
during take-off and landing.
All carry-on luggange must be stowed in an over-head compartment
or under the seat in front of you.","Pink",45
"(Verse1)
Waiting on a ticket
'Cause you're looking for the ride
You're feeling on top
'Cause you're flying through the sky
You wanna have your cake
And you wanna eat it too
Everybody's always pointing fingers at you
You're damned if you do
You're damned if you don't
We're always doing all the things
That we say we won't","Pink",46
"(Chorus)
Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22
Yes we're flying round in circles
- it's a Catch22
Yes we're rocking round in circles
- it's a Catch22","Pink",47
"(Pink speaking)
If you are seated in an emergency exit aisle and feel as though you
are unable or unwilling to assist in the case of an emergency,
please notify a flight attendant immediately.
All electrical equipment, including cell-phones, 2-way pagers,
portable CD players, laptops etc should remain in the off position
until the pilot notifies us that we are at a safe flying altitude of 10,000ft","Pink",48
"(Verse2)
Looking from the outside, you're always looking in
You think you fix the problem, until it comes right back again
And life seems like a trap, you're trying to get out
You're searching for your cheese because you feel like Mighty Mouse
You're damned if you don't - you're damned if you do
You've seen all the signs, but you haven't got a clue","Pink",49
"(Chorus)
Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22
Yes we're flying round in circles
- it's a Catch22
Yes we're rocking round in circles
- it's a Catch22","Pink",50
"You are in, you are in, you are in, you are in
You are in for the ride of your life","Pink",51
"(Chorus)
Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22
Yes we're flying round in circles
- it's a Catch22","Pink",52
"(Pink speaking)
We realize you have many choices and behalf of all of us at Pink
Airlines, we'd like to thankyou for flying with us.
We hope you have a wonderful stay wherever you're destination
may be.
And remember, be careful retrieving your items, as during the flight
they may have shifted, and might fall on you or your neighbours head,
and knock you the fuck out","Pink",53
"(Chorus)
Here we go
Riding on a whim
Connecting with the rendezvous
Here we go
We're jumping off the wings
We're going round in circles
- it's a Catch22","Pink",54
