"singer","word"
"Pink","hey"
"Pink","hey"
"Pink","tryin"
"Pink","hurt"
"Pink","bad"
"Pink","reconsider"
"Pink","plan"
"Pink","cuz"
"Pink","kinda"
"Pink","girl"
"Pink","that'll"
"Pink","lay"
"Pink","push"
"Pink","window"
"Pink","run"
"Pink","18"
"Pink","wheeler"
"Pink","truck"
"Pink","fuck"
"Pink","hang"
"Pink","slave"
"Pink","underground"
"Pink","run"
"Pink","18"
"Pink","wheeler"
"Pink","hey"
"Pink","hey"
"Pink","girl"
"Pink","ready"
"Pink","shield"
"Pink","sword"
"Pink","cuz"
"Pink","time"
"Pink","play"
"Pink","games"
"Pink","beautiful"
"Pink","pull"
"Pink","scar"
"Pink","gonna"
"Pink","feelings"
"Pink","hurt"
"Pink","push"
"Pink","window"
"Pink","run"
"Pink","18"
"Pink","wheeler"
"Pink","truck"
"Pink","fuck"
"Pink","hang"
"Pink","slave"
"Pink","underground"
"Pink","run"
"Pink","18"
"Pink","wheeler"
"Pink","push"
"Pink","window"
"Pink","run"
"Pink","18"
"Pink","wheeler"
"Pink","truck"
"Pink","fuck"
"Pink","hang"
"Pink","slave"
"Pink","underground"
"Pink","run"
"Pink","18"
"Pink","wheeler"
"Pink","waitin"
"Pink","chain"
"Pink","tryin"
"Pink","short'change"
"Pink","gonna"
"Pink","break"
"Pink","push"
"Pink","window"
"Pink","run"
"Pink","18"
"Pink","wheeler"
"Pink","truck"
"Pink","fuck"
"Pink","hang"
"Pink","slave"
"Pink","underground"
"Pink","run"
"Pink","18"
"Pink","wheeler"
"Pink","bananas"
"Pink","pijamas"
"Pink","coming"
"Pink","street"
"Pink","bananas"
"Pink","pijamas"
"Pink","coming"
"Pink","pairs"
"Pink","bananas"
"Pink","pijamas"
"Pink","chasing"
"Pink","nikki"
"Pink","minaj"
"Pink","tuesdays"
"Pink","catch"
"Pink","pillows"
"Pink","morning"
"Pink","wake"
"Pink","lying"
"Pink","time"
"Pink","flirting"
"Pink","girl"
"Pink","thinking"
"Pink","boy"
"Pink","boy"
"Pink","eyes"
"Pink","boy"
"Pink","boy"
"Pink","realize"
"Pink","boy"
"Pink","boy"
"Pink","eyes"
"Pink","morning"
"Pink","alright"
"Pink","love"
"Pink","cheat"
