"band","element_id","word"
"Pink Floyd",1,"day"
"Pink Floyd",1,"wall"
"Pink Floyd",1,"threw"
"Pink Floyd",1,"locks"
"Pink Floyd",1,"ground"
"Pink Floyd",1,"glasses"
"Pink Floyd",1,"raised"
"Pink Floyd",1,"cry"
"Pink Floyd",1,"freedom"
"Pink Floyd",1,"arrived"
"Pink Floyd",1,"day"
"Pink Floyd",1,"wall"
"Pink Floyd",1,"ship"
"Pink Floyd",1,"fools"
"Pink Floyd",1,"finally"
"Pink Floyd",1,"ran"
"Pink Floyd",1,"aground"
"Pink Floyd",1,"promises"
"Pink Floyd",1,"lit"
"Pink Floyd",1,"night"
"Pink Floyd",1,"paper"
"Pink Floyd",1,"doves"
"Pink Floyd",1,"flight"
"Pink Floyd",1,"dreamed"
"Pink Floyd",1,"left"
"Pink Floyd",1,"warmth"
"Pink Floyd",1,"pride"
"Pink Floyd",1,"remained"
"Pink Floyd",2,"life"
"Pink Floyd",2,"devalues"
"Pink Floyd",2,"day"
"Pink Floyd",2,"day"
"Pink Floyd",2,"friends"
"Pink Floyd",2,"neighbors"
"Pink Floyd",2,"change"
"Pink Floyd",2,"regret"
"Pink Floyd",2,"undone"
"Pink Floyd",2,"frontiers"
"Pink Floyd",2,"shift"
"Pink Floyd",2,"desert"
"Pink Floyd",2,"sands"
"Pink Floyd",2,"nations"
"Pink Floyd",2,"wash"
"Pink Floyd",2,"bloodied"
"Pink Floyd",2,"hands"
"Pink Floyd",2,"loyalty"
"Pink Floyd",2,"history"
"Pink Floyd",2,"shades"
"Pink Floyd",2,"grey"
"Pink Floyd",3,"woke"
"Pink Floyd",3,"sound"
"Pink Floyd",3,"drums"
"Pink Floyd",3,"music"
"Pink Floyd",3,"played"
"Pink Floyd",3,"morning"
"Pink Floyd",3,"sun"
"Pink Floyd",3,"streamed"
"Pink Floyd",3,"looked"
"Pink Floyd",3,"bitter"
"Pink Floyd",3,"residues"
"Pink Floyd",3,"slipped"
"Pink Floyd",3,"slipped"
"Pink Floyd",4,"david"
"Pink Floyd",4,"gilmour"
"Pink Floyd",4,"polly"
"Pink Floyd",4,"samson"
"Pink Floyd",5,"day"
"Pink Floyd",5,"wall"
"Pink Floyd",5,"threw"
"Pink Floyd",5,"locks"
"Pink Floyd",5,"ground"
"Pink Floyd",5,"glasses"
"Pink Floyd",5,"raised"
"Pink Floyd",5,"cry"
"Pink Floyd",5,"freedom"
"Pink Floyd",5,"arrived"
"Pink Floyd",6,"day"
"Pink Floyd",6,"wall"
"Pink Floyd",6,"ship"
"Pink Floyd",6,"fools"
"Pink Floyd",6,"finally"
"Pink Floyd",6,"run"
"Pink Floyd",6,"aground"
"Pink Floyd",6,"promises"
"Pink Floyd",6,"lit"
"Pink Floyd",6,"night"
"Pink Floyd",6,"paper"
"Pink Floyd",6,"doves"
"Pink Floyd",6,"flight"
"Pink Floyd",7,"dreamed"
"Pink Floyd",7,"left"
"Pink Floyd",7,"warmth"
"Pink Floyd",7,"pride"
"Pink Floyd",7,"remained"
"Pink Floyd",8,"life"
"Pink Floyd",8,"devolves"
"Pink Floyd",8,"day"
"Pink Floyd",8,"day"
"Pink Floyd",8,"friends"
"Pink Floyd",8,"neighbours"
"Pink Floyd",8,"change"
"Pink Floyd",8,"regret"
"Pink Floyd",8,"undone"
"Pink Floyd",9,"frontiers"
"Pink Floyd",9,"shift"
"Pink Floyd",9,"desert"
"Pink Floyd",9,"sands"
"Pink Floyd",9,"nations"
"Pink Floyd",9,"wash"
"Pink Floyd",9,"bloodied"
"Pink Floyd",9,"hands"
"Pink Floyd",9,"loyalty"
"Pink Floyd",9,"history"
"Pink Floyd",9,"shades"
"Pink Floyd",9,"grey"
"Pink Floyd",10,"woke"
"Pink Floyd",10,"sound"
"Pink Floyd",10,"drums"
"Pink Floyd",10,"music"
"Pink Floyd",10,"played"
"Pink Floyd",10,"morning"
"Pink Floyd",10,"sun"
"Pink Floyd",10,"streamed"
"Pink Floyd",10,"looked"
"Pink Floyd",10,"bitter"
"Pink Floyd",10,"residue"
"Pink Floyd",10,"slipped"
"Pink Floyd",10,"slipped"
"Pink Floyd",11,"cloud"
"Pink Floyd",11,"eider"
"Pink Floyd",11,"draws"
"Pink Floyd",11,"softening"
"Pink Floyd",11,"sound"
"Pink Floyd",11,"sleepy"
"Pink Floyd",11,"time"
"Pink Floyd",11,"life"
"Pink Floyd",11,"love"
"Pink Floyd",11,"breathing"
"Pink Floyd",11,"low"
"Pink Floyd",11,"candle"
"Pink Floyd",11,"dies"
"Pink Floyd",11,"night"
"Pink Floyd",11,"lock"
"Pink Floyd",11,"door"
"Pink Floyd",11,"boot"
"Pink Floyd",11,"falls"
"Pink Floyd",11,"floor"
"Pink Floyd",11,"darkness"
"Pink Floyd",11,"falls"
"Pink Floyd",11,"waves"
"Pink Floyd",11,"roll"
"Pink Floyd",11,"seasons"
"Pink Floyd",11,"change"
"Pink Floyd",11,"wind"
"Pink Floyd",11,"raw"
"Pink Floyd",11,"wakes"
"Pink Floyd",11,"hour"
"Pink Floyd",11,"sleeps"
"Pink Floyd",11,"swan"
"Pink Floyd",11,"behold"
"Pink Floyd",11,"dream"
"Pink Floyd",11,"dream"
"Pink Floyd",11,"green"
"Pink Floyd",11,"fields"
"Pink Floyd",11,"cold"
"Pink Floyd",11,"rain"
"Pink Floyd",11,"falling"
"Pink Floyd",11,"golden"
"Pink Floyd",11,"dawn"
"Pink Floyd",11,"deep"
"Pink Floyd",11,"beneath"
"Pink Floyd",11,"ground"
"Pink Floyd",11,"morning"
"Pink Floyd",11,"sounds"
"Pink Floyd",11,"sleepy"
"Pink Floyd",11,"time"
"Pink Floyd",11,"life"
"Pink Floyd",11,"love"
"Pink Floyd",11,"breathing"
"Pink Floyd",11,"low"
"Pink Floyd",11,"rise"
"Pink Floyd",11,"bird"
"Pink Floyd",11,"haze"
"Pink Floyd",11,"rays"
"Pink Floyd",11,"touch"
"Pink Floyd",11,"sky"
"Pink Floyd",11,"night"
"Pink Floyd",11,"winds"
"Pink Floyd",11,"die"
"Pink Floyd",12,"bath"
"Pink Floyd",12,"tequila"
"Pink Floyd",12,"manuel"
"Pink Floyd",12,"leaf"
"Pink Floyd",12,"cringle"
"Pink Floyd",12,"laugh"
"Pink Floyd",12,"lisp"
"Pink Floyd",12,"kill"
"Pink Floyd",12,"spanish"
"Pink Floyd",12,"music"
"Pink Floyd",12,"sets"
"Pink Floyd",12,"soul"
"Pink Floyd",12,"fire"
"Pink Floyd",12,"lovely"
"Pink Floyd",12,"seniorita"
"Pink Floyd",12,"eyes"
"Pink Floyd",12,"stars"
"Pink Floyd",12,"teeth"
"Pink Floyd",12,"pearls"
"Pink Floyd",12,"ruby"
"Pink Floyd",12,"lips"
"Pink Floyd",12,"seniorita"
"Pink Floyd",13,"daddys"
"Pink Floyd",13,"flown"
"Pink Floyd",13,"ocean"
"Pink Floyd",13,"leaving"
"Pink Floyd",13,"memory"
"Pink Floyd",13,"snapshot"
"Pink Floyd",13,"family"
"Pink Floyd",13,"album"
"Pink Floyd",13,"daddy"
"Pink Floyd",13,"leave"
"Pink Floyd",13,"dad"
"Pink Floyd",13,"leave"
"Pink Floyd",14,"brick"
"Pink Floyd",14,"wall"
"Pink Floyd",14,"bricks"
"Pink Floyd",14,"wall"
"Pink Floyd",15,"hey"
"Pink Floyd",16,"children"
