"band","word"
"Pink Floyd","day"
"Pink Floyd","wall"
"Pink Floyd","threw"
"Pink Floyd","locks"
"Pink Floyd","ground"
"Pink Floyd","glasses"
"Pink Floyd","raised"
"Pink Floyd","cry"
"Pink Floyd","freedom"
"Pink Floyd","arrived"
"Pink Floyd","day"
"Pink Floyd","wall"
"Pink Floyd","ship"
"Pink Floyd","fools"
"Pink Floyd","finally"
"Pink Floyd","ran"
"Pink Floyd","aground"
"Pink Floyd","promises"
"Pink Floyd","lit"
"Pink Floyd","night"
"Pink Floyd","paper"
"Pink Floyd","doves"
"Pink Floyd","flight"
"Pink Floyd","dreamed"
"Pink Floyd","left"
"Pink Floyd","warmth"
"Pink Floyd","pride"
"Pink Floyd","remained"
"Pink Floyd","life"
"Pink Floyd","devalues"
"Pink Floyd","day"
"Pink Floyd","day"
"Pink Floyd","friends"
"Pink Floyd","neighbors"
"Pink Floyd","change"
"Pink Floyd","regret"
"Pink Floyd","undone"
"Pink Floyd","frontiers"
"Pink Floyd","shift"
"Pink Floyd","desert"
"Pink Floyd","sands"
"Pink Floyd","nations"
"Pink Floyd","wash"
"Pink Floyd","bloodied"
"Pink Floyd","hands"
"Pink Floyd","loyalty"
"Pink Floyd","history"
"Pink Floyd","shades"
"Pink Floyd","grey"
"Pink Floyd","woke"
"Pink Floyd","sound"
"Pink Floyd","drums"
"Pink Floyd","music"
"Pink Floyd","played"
"Pink Floyd","morning"
"Pink Floyd","sun"
"Pink Floyd","streamed"
"Pink Floyd","looked"
"Pink Floyd","bitter"
"Pink Floyd","residues"
"Pink Floyd","slipped"
"Pink Floyd","slipped"
"Pink Floyd","david"
"Pink Floyd","gilmour"
"Pink Floyd","polly"
"Pink Floyd","samson"
"Pink Floyd","day"
"Pink Floyd","wall"
"Pink Floyd","threw"
"Pink Floyd","locks"
"Pink Floyd","ground"
"Pink Floyd","glasses"
"Pink Floyd","raised"
"Pink Floyd","cry"
"Pink Floyd","freedom"
"Pink Floyd","arrived"
"Pink Floyd","day"
"Pink Floyd","wall"
"Pink Floyd","ship"
"Pink Floyd","fools"
"Pink Floyd","finally"
"Pink Floyd","run"
"Pink Floyd","aground"
"Pink Floyd","promises"
"Pink Floyd","lit"
"Pink Floyd","night"
"Pink Floyd","paper"
"Pink Floyd","doves"
"Pink Floyd","flight"
"Pink Floyd","dreamed"
"Pink Floyd","left"
"Pink Floyd","warmth"
"Pink Floyd","pride"
"Pink Floyd","remained"
"Pink Floyd","life"
"Pink Floyd","devolves"
"Pink Floyd","day"
"Pink Floyd","day"
"Pink Floyd","friends"
"Pink Floyd","neighbours"
"Pink Floyd","change"
"Pink Floyd","regret"
"Pink Floyd","undone"
"Pink Floyd","frontiers"
"Pink Floyd","shift"
"Pink Floyd","desert"
"Pink Floyd","sands"
"Pink Floyd","nations"
"Pink Floyd","wash"
"Pink Floyd","bloodied"
"Pink Floyd","hands"
"Pink Floyd","loyalty"
"Pink Floyd","history"
